pid,Name,Pos,DraftPick,Age,Team,Season,GP,GS,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,BA,PF,Pts,AtRimFG,AtRimFGA,AtRimFGP,LowPostFG,LowPostFGA,LowPostFGP,MidRangeFG,MidRangeFGA,MidRangeFGP,PER,EWA,ORtg,DRtg,OWS,DWS,WS,WS/48,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,+/-,OVR,POT,HGT,STRE,SPD,JMP,ENDU,INS,DNK,FT,FG,TP,OIQ,DIQ,DRB,PSS,REB
12,Markel Brown,SG,44,25,MIA,2017,1,0,3.8130841121495327,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.783258309860514,-0.039888666538050274,0,112.64034202129102,0,-0.00027513181723621855,-0.00027513181723621855,-0.0034634240522676924,0,0,0,0,0,0,0,0,0,0,11.223365990132315,-1,30,33,33,46.4,38,39.2,47.6,38.6,38,51.8,56.6,39.8,35,40.4,27.2,33.2,32.6
114,Dante Exum,PG,5,22,ATL,2017,32,2,17.934418701211428,2.25,6.1875,36.36363636363637,0.1875,1.15625,16.216216216216218,1.71875,2.21875,77.46478873239437,0.5625,2.125,2.6875,2.3125,1.1875,0.59375,0.03125,0.40625,0.90625,6.40625,1.09375,2.03125,53.84615384615385,0.40625,1,40.625,0.5625,2,28.125,12.09976647525519,0.25120697238010986,92.35311647701732,110.3508171006571,-0.2265489293208139,0.11712338162066072,-0.1094255477001532,-0.009152140600974294,44.71296457860757,18.68686868686869,35.85858585858586,3.299136131644176,13.298532873447954,8.136758304475954,20.42825527583748,1.6431166594868052,0.1250060633369211,8.2882568487175,20.325347703546612,-3.625,57,67,44,50,66.8,63.8,65,45.8,56,62,50,55.4,51.2,41,54.2,50,36.8
133,Kyle Korver,SG,52,36,DET,2017,82,0,18.94697313812279,3.926829268292683,8.707317073170731,45.09803921568628,1.1219512195121952,2.682926829268293,41.81818181818182,1.7073170731707317,1.975609756097561,86.41975308641975,0.5,2.0365853658536586,2.5365853658536586,1.0731707317073171,0.7439024390243902,0.4024390243902439,0.18292682926829268,0.6097560975609756,1.1219512195121952,10.682926829268293,1.2195121951219512,1.853658536585366,65.78947368421052,0.4146341463414634,0.9146341463414634,45.333333333333336,1.170731707317073,3.2560975609756095,35.95505617977528,20.9447840549969,6.458729361086011,110.93771519058824,105.09656149570469,3.20703996768992,1.4265859590936136,4.633625926783534,0.14315565744422143,55.77628361858191,30.81232492997199,22.689075630252102,2.916921553029446,11.505012629308077,7.28002596786461,9.038376254131745,1.0467940703876844,0.6878063431956614,3.8839649551752244,23.46776941751014,1.8658536585365855,57,57,48,44,56,62,65,50,66.2,78.8,68,74.6,53,32.6,36.2,51.2,21.2
158,Joe Johnson,GF,10,36,SAS,2017,55,55,31.96643083195779,5.218181818181818,13.090909090909092,39.861111111111114,0.9454545454545454,3.109090909090909,30.4093567251462,3.018181818181818,3.4909090909090907,86.45833333333333,1.1818181818181819,3.672727272727273,4.8545454545454545,1.5818181818181818,1.8727272727272728,1,0.14545454545454545,0.8181818181818182,0.5272727272727272,14.4,0.8727272727272727,1.509090909090909,57.83132530120482,2.036363636363636,4.0181818181818185,50.678733031674206,1.3636363636363635,4.454545454545454,30.612244897959183,15.810195143443167,3.7158763051299823,96.0464297879933,108.70167695832498,0.05926029740724223,0.8232116705215665,0.8824719679288088,0.024092691419863782,49.22434367541766,23.75,26.666666666666668,4.019341828138529,12.518504726205048,8.26422890385057,8.547032707923593,1.551114952113226,0.32539372448394777,6.401650755767701,22.38664809642268,-4.472727272727273,55,55,50,56,80,50,65.6,80,26,63.8,63.8,58.4,53.6,23,26.6,50,36.8
170,Anthony Tolliver,F,,32,PHI,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,52,56,68,60.2,65,50,39.8,53.6,58.4,64.4,47.6,21.8,27.2,47.6,20
184,Joakim Noah,FC,9,32,IND,2017,6,0,4.670500038759336,0.6666666666666666,0.8333333333333334,80,0,0,0,0.6666666666666666,1.1666666666666667,57.142857142857146,0.16666666666666666,0.8333333333333334,1,0.3333333333333333,0.8333333333333334,0,0.3333333333333333,0,0.3333333333333333,2,0.3333333333333333,0.5,66.66666666666667,0.16666666666666666,0.16666666666666666,100,0.16666666666666666,0.16666666666666666,100,15.5760794765974,0.050481323870748634,91.83564557696387,102.51525203500108,-0.013770378969621268,0.03408805636951685,0.020317677399895585,0.0348017167006259,74.25742574257426,0,140,3.869573809844579,18.95461967830373,11.489535377895814,10.79307698567435,0,5.103743139892302,30.94059405940594,19.90589753903359,-2.8333333333333335,56,56,63,74,51.2,66.8,66.2,46.4,55.4,20,38,26,46.4,50,44,68.6,77
200,Jarrett Jack,PG,22,34,SAS,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,33,35,59,48.8,62,64.4,46.4,75.8,68,59,61.4,44.6,50,71.6,50
213,Jose Calderon,SG,,36,NOP,2017,8,1,8.419359451958773,1.375,3.75,36.666666666666664,0.5,1.625,30.76923076923077,0.25,0.25,100,0.125,0.25,0.375,0.5,0.5,0.25,0,0.625,0,3.5,0,0.125,0,0,0.375,0,0.875,1.625,53.84615384615385,10.698300011142175,0.0053160089890814735,88.10911684619212,99.67200352244055,-0.06703555716761027,0.10745168671979523,0.04041612955218496,0.028802283439352698,45.336787564766844,43.333333333333336,6.666666666666667,1.6096556606746986,3.0787152468048036,2.3605829719819242,9.20208573409521,1.466001269898967,0,6.476683937823834,22.21903819515658,-4.125,53,53,33,57.8,60.8,20,48.2,50,62,75.8,64.4,71,56,23,29.6,72.8,23
217,Dirk Nowitzki,FC,9,39,CLE,2017,82,82,35.3981437528614,6.878048780487805,15.597560975609756,44.09695074276779,1.3414634146341464,4.073170731707317,32.93413173652694,3.0365853658536586,3.5,86.7595818815331,1.9146341463414633,6.695121951219512,8.609756097560975,3.292682926829268,2.3536585365853657,1.1097560975609757,0.7073170731707317,0.8536585365853658,2.8292682926829267,18.134146341463413,1.5731707317073171,2.3902439024390243,65.81632653061224,1.1951219512195121,2.3658536585365852,50.51546391752577,2.768292682926829,6.7682926829268295,40.9009009009009,20.755952604093935,11.21311914592258,104.53250055612122,100.05777491652462,3.6323472514958204,4.490845583651498,8.123192835147318,0.13433019939059784,52.907605601730616,26.11415168100078,22.439405785770134,5.758048675681426,19.72457009716381,12.813186284528093,15.253806850316643,1.5279412881422787,1.4074727542762966,6.866958897870887,23.376345011418547,3.0609756097560976,63,63,68,52.4,44,50,66.8,56.6,51.2,74,80,64.4,59,42.8,52.4,62,48.2
227,James McAdoo,PF,,24,ATL,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,55,56,42.8,51.2,53.6,56,47,69.2,20,53,26,39.8,47,39.2,46.4,66.8
